timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778857686752,853,03 showTestInfo,200,OK,Thread Group 1-221,text,true,,9589,423,53,53,http://192.168.27.1/tcexam/public/code/tce_test_start.php?testid=15,672,0,0
1778857685761,1847,05 execTestLoop,200,OK,Thread Group 1-213,text,true,,12948,1609,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1575,0,0
1778857685976,1635,09 showTestList,200,OK,Thread Group 1-178,text,true,,10907,394,53,53,http://192.168.27.1/tcexam/public/code/index.php,1502,0,0
1778857685674,1966,05 execTestLoop,200,OK,Thread Group 1-197,text,true,,12856,1562,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1699,0,0
1778857686074,1721,07 terminateTest,200,OK,Thread Group 1-183,text,true,,6490,1580,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1721,0,0
1778857685914,1912,05 execTestLoop,200,OK,Thread Group 1-212,text,true,,12949,1549,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1677,0,0
1778857685808,2066,05 execTestLoop,200,OK,Thread Group 1-201,text,true,,12863,1510,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1879,0,0
1778857686138,1787,02 getTestID,200,OK,Thread Group 1-223,text,true,,11081,398,53,53,http://192.168.27.1/tcexam/public/code/index.php,1608,0,0
1778857687256,699,00 getLoginPage,200,OK,Thread Group 1-227,text,true,,9201,455,53,53,http://192.168.27.1/tcexam/public/code/,5,0,1
1778857687256,5,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-227,text,true,,623,294,53,53,http://192.168.27.1/tcexam/public/code,5,0,1
1778857687261,694,00 getLoginPage-1,200,OK,Thread Group 1-227,text,true,,8578,161,53,53,http://192.168.27.1/tcexam/public/code/,694,0,0
1778857686221,1977,05 execTestLoop,200,OK,Thread Group 1-214,text,true,,12866,1596,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1735,0,0
1778857685998,2274,01 doLogin,200,OK,Thread Group 1-225,text,true,,12131,1167,53,53,http://192.168.27.1/tcexam/public/code/index.php,841,0,0
1778857685998,841,01 doLogin-0,302,Found,Thread Group 1-225,text,true,,964,931,53,53,http://192.168.27.1/tcexam/public/code/index.php,841,0,0
1778857686839,1433,01 doLogin-1,200,OK,Thread Group 1-225,text,true,,11167,236,53,53,http://192.168.27.1/tcexam/public/code/index.php,1348,0,0
1778857686360,1918,06 execTestLastQuestionConfirmation,200,OK,Thread Group 1-187,text,true,,12859,1532,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1674,0,0
1778857687815,584,11 getLoginPage,200,OK,Thread Group 1-174,text,true,,9163,567,53,53,http://192.168.27.1/tcexam/public/code/,3,0,0
1778857687815,3,11 getLoginPage-0,301,Moved Permanently,Thread Group 1-174,text,true,,585,365,53,53,http://192.168.27.1/tcexam/public/code,3,0,0
1778857687818,581,11 getLoginPage-1,200,OK,Thread Group 1-174,text,true,,8578,202,53,53,http://192.168.27.1/tcexam/public/code/,581,0,0
1778857686437,2092,06 execTestLastQuestionConfirmation,200,OK,Thread Group 1-184,text,true,,12869,1493,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1849,0,0
1778857686322,2202,05 execTestLoop,200,OK,Thread Group 1-206,text,true,,12860,1523,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1858,0,0
1778857685935,2571,01 doLogin,200,OK,Thread Group 1-224,text,true,,12043,1222,52,52,http://192.168.27.1/tcexam/public/code/index.php,714,0,0
1778857685935,714,01 doLogin-0,302,Found,Thread Group 1-224,text,true,,964,986,52,52,http://192.168.27.1/tcexam/public/code/index.php,714,0,0
1778857686649,1857,01 doLogin-1,200,OK,Thread Group 1-224,text,true,,11079,236,52,52,http://192.168.27.1/tcexam/public/code/index.php,1729,0,0
1778857686241,2256,05 execTestLoop,200,OK,Thread Group 1-195,text,true,,12859,1601,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2111,0,0
1778857687902,728,00 getLoginPage,200,OK,Thread Group 1-228,text,true,,9201,447,52,52,http://192.168.27.1/tcexam/public/code/,5,0,1
1778857687902,5,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-228,text,true,,623,286,52,52,http://192.168.27.1/tcexam/public/code,5,0,1
1778857687907,723,00 getLoginPage-1,200,OK,Thread Group 1-228,text,true,,8578,161,52,52,http://192.168.27.1/tcexam/public/code/,723,0,0
1778857686772,1896,09 showTestList,200,OK,Thread Group 1-181,text,true,,10820,404,52,52,http://192.168.27.1/tcexam/public/code/index.php,1787,0,0
1778857686707,2058,05 execTestLoop,200,OK,Thread Group 1-191,text,true,,12863,1614,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1830,0,0
1778857686994,1848,05 execTestLoop,200,OK,Thread Group 1-209,text,true,,12864,1601,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1712,0,0
1778857686968,2094,05 execTestLoop,200,OK,Thread Group 1-203,text,true,,12858,1536,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1873,0,0
1778857687288,2003,05 execTestLoop,200,OK,Thread Group 1-196,text,true,,12858,1614,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1769,0,0
1778857687328,1983,05 execTestLoop,200,OK,Thread Group 1-189,text,true,,12864,1588,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1882,0,0
1778857688522,797,11 getLoginPage,200,OK,Thread Group 1-177,text,true,,9163,571,53,53,http://192.168.27.1/tcexam/public/code/,4,0,0
1778857688522,4,11 getLoginPage-0,301,Moved Permanently,Thread Group 1-177,text,true,,585,369,53,53,http://192.168.27.1/tcexam/public/code,4,0,0
1778857688526,793,11 getLoginPage-1,200,OK,Thread Group 1-177,text,true,,8578,202,53,53,http://192.168.27.1/tcexam/public/code/,792,0,0
